num_epochs,num_Hidden_layers,hidden_size,training_time,testing_time,test_accuracy,learning_rate
34,4,9,35.63078022003174,0.17529010772705078,92.7387535572052,0.0004408903969182107
15,10,50,33.87298774719238,0.18848586082458496,92.58090257644653,0.00026406112324104487
11,10,5,10.82996129989624,0.15749096870422363,50.3551721572876,0.00026861674767941415
12,9,40,24.265003204345703,0.17572975158691406,91.23914837837219,0.00910044578353995
15,2,24,21.354079961776733,0.18985247611999512,92.81768202781677,0.001318970076621055
48,4,12,51.81795573234558,0.15842723846435547,92.58090257644653,0.000993388396258208
43,7,24,61.18304133415222,0.16279339790344238,92.81768202781677,0.00015285815525438933
25,0,5,20.62844753265381,0.16151022911071777,92.81768202781677,0.004687045352195954
27,8,22,37.37060761451721,0.17500948905944824,92.97553300857544,0.00045210411266206196
31,7,24,45.33238077163696,0.18977117538452148,92.18626618385315,0.0005883230142976071
50,0,48,95.48376321792603,0.17990994453430176,92.42304563522339,0.00023919102897993302
21,1,20,25.971415996551514,0.16198229789733887,92.65982508659363,0.00026391119342495355
19,6,6,18.386088848114014,0.1574695110321045,92.02841520309448,0.004241132517023327
12,7,7,11.909472227096558,0.1676337718963623,92.97553300857544,0.0033178274415158254
28,4,6,25.803070306777954,0.15665602684020996,92.81768202781677,0.0009518368984631848
32,4,28,49.941967248916626,0.16785216331481934,92.65982508659363,0.0012847471352261531
32,1,11,34.27500557899475,0.1656498908996582,92.18626618385315,0.005007844246260435
17,5,8,16.159398794174194,0.15392088890075684,92.58090257644653,0.0010754667598040786
14,9,28,23.379136085510254,0.16557669639587402,92.34411716461182,0.005530632733106275
15,7,9,15.531115055084229,0.1582658290863037,92.18626618385315,0.006571288786302702
26,6,5,24.068955898284912,0.1566298007965088,91.87055826187134,0.00045160759777974484
20,3,6,17.83928084373474,0.1544346809387207,92.42304563522339,0.0005631932620728416
47,3,12,48.8699209690094,0.15831804275512695,92.42304563522339,0.0007921895212503737
13,3,11,13.961806297302246,0.16199398040771484,92.7387535572052,0.004657866863066858
45,0,8,38.8862943649292,0.1504812240600586,92.7387535572052,0.001156373076048969
26,3,29,39.88932132720947,0.1740565299987793,92.26519465446472,0.00032467447157671285
29,10,6,29.494523286819458,0.15811419486999512,90.68666100502014,0.0005445065756124654
35,10,8,36.96660304069519,0.15401363372802734,92.02841520309448,0.002721508442157265
19,6,9,19.006056785583496,0.15585827827453613,92.7387535572052,0.00030761527390399813
15,6,25,21.18325424194336,0.1689455509185791,92.65982508659363,0.00014123584063998985
35,3,6,31.047588109970093,0.15498566627502441,92.50197410583496,0.0001384229025265912
46,5,7,47.32599234580994,0.16336798667907715,91.94948673248291,0.00876968468880013
30,3,5,25.8114070892334,0.15575599670410156,92.58090257644653,0.00030523118478531736
25,1,6,21.58144474029541,0.15241146087646484,92.34411716461182,0.001346209779754561
36,10,40,79.5911123752594,0.17525863647460938,91.16021990776062,0.002683667002593295
33,4,13,36.028329372406006,0.16214561462402344,92.42304563522339,0.00019004646637810113
25,10,35,44.98103308677673,0.1844651699066162,92.50197410583496,0.00021953106503699353
42,6,14,53.33358693122864,0.15730524063110352,91.94948673248291,0.006738339798981508
45,3,45,92.34366822242737,0.1727297306060791,92.81768202781677,0.001660791434527433
21,5,11,21.615251541137695,0.15452051162719727,91.79163575172424,0.0021021342835902635
39,7,19,50.60629606246948,0.1673440933227539,92.58090257644653,0.001371836071036668
20,0,47,36.515870809555054,0.17747831344604492,92.58090257644653,0.0005817864931611846
48,9,23,65.29601287841797,0.2120988368988037,92.58090257644653,0.00016916966466839397
28,8,9,27.766661643981934,0.1503620147705078,91.6337788105011,0.005219990249334814
14,2,7,12.122512102127075,0.15200090408325195,92.97553300857544,0.00017496463489411908
38,2,11,37.223817110061646,0.14948248863220215,92.18626618385315,0.0021245230577728595
33,2,44,68.22994184494019,0.17061877250671387,92.26519465446472,0.003935554546016513
